fromNode	toNode	weight	direction	fromAltName	toAltName
A1BG	ATRX	0.151519389175261	undirected	NA	NA
A1BG	PBRM1	0.155045055767067	undirected	NA	NA
A1BG	SMAD4	0.165976966230358	undirected	NA	NA
A1CF	ABHD13	0.194647487315887	undirected	NA	NA
A1CF	ABHD17B	0.156020165253401	undirected	NA	NA
A1CF	ACBD5	0.16020970877205	undirected	NA	NA
A1CF	ACD	0.156088404277097	undirected	NA	NA
A1CF	ACER2	0.1513902809778	undirected	NA	NA
A1CF	ACTR8	0.159031631499409	undirected	NA	NA
A1CF	AEBP2	0.1543334601724	undirected	NA	NA
A1CF	AFF4	0.17564653197966	undirected	NA	NA
A1CF	AFTPH	0.186345531454324	undirected	NA	NA
A1CF	AGGF1	0.153757128823769	undirected	NA	NA
A1CF	AKAP11	0.159898026887841	undirected	NA	NA
A1CF	ANKIB1	0.167796636159484	undirected	NA	NA
A1CF	ANKLE2	0.193870662680049	undirected	NA	NA
A1CF	ANKMY2	0.155666240606738	undirected	NA	NA
A1CF	ANKRD13C	0.162404647604257	undirected	NA	NA
A1CF	ANKRD17	0.157464392368146	undirected	NA	NA
A1CF	APC	0.191509918887145	undirected	NA	NA
A1CF	APPBP2	0.161486615307622	undirected	NA	NA
A1CF	ARL5B	0.159105363588352	undirected	NA	NA
A1CF	ASAP3	0.158527713225346	undirected	NA	NA
A1CF	ASH1L	0.153308682508885	undirected	NA	NA
A1CF	ATAD2B	0.153461050401349	undirected	NA	NA
A1CF	ATF1	0.16970721234876	undirected	NA	NA
A1CF	ATF2	0.214071340750303	undirected	NA	NA
A1CF	ATP7A	0.202537098933436	undirected	NA	NA
A1CF	ATRX	0.182544277593726	undirected	NA	NA
A1CF	AZI2	0.151917658926961	undirected	NA	NA
A1CF	BAZ1A	0.153328356469378	undirected	NA	NA
A1CF	BCLAF1	0.163749807685046	undirected	NA	NA
A1CF	BDP1	0.150054474185999	undirected	NA	NA
A1CF	BICD2	0.172249109750424	undirected	NA	NA
A1CF	BMI1	0.165149446811809	undirected	NA	NA
A1CF	BMPR2	0.156950496374359	undirected	NA	NA
A1CF	BRAP	0.199635982055234	undirected	NA	NA
A1CF	BRWD3	0.160434883091627	undirected	NA	NA
A1CF	BTAF1	0.178691827834827	undirected	NA	NA
A1CF	C2H3orf38	0.224909859357314	undirected	NA	NA
A1CF	CAMSAP2	0.153940942546044	undirected	NA	NA
A1CF	CBLL1	0.169200391234571	undirected	NA	NA
A1CF	CBX3	0.155710538322319	undirected	NA	NA
A1CF	CCDC124	0.159652983247876	undirected	NA	NA
A1CF	CCDC186	0.172299829652121	undirected	NA	NA
A1CF	CCDC6	0.154742842281706	undirected	NA	NA
A1CF	CCNT1	0.173993227284767	undirected	NA	NA
A1CF	CCNYL1	0.153194911252134	undirected	NA	NA
A1CF	CDADC1	0.163072795829031	undirected	NA	NA
