pathway	pval	padj	log2err	ES	NES	size	leadingEdge
1	KEGG_OXIDATIVE_PHOSPHORYLATION	3.18689976498211e-05	0.00368144263841157	0.557332238758646	0.623758357542493	1.94407189246974	49	c("ATP5PO", "NDUFS3", "NDUFC2", "NDUFA6", "NDUFS6", "NDUFB8", "NDUFV3", "NDUFS8", "ATP6V1F", "SDHB", "NDUFS5", "NDUFS4", "NDUFA8", "NDUFB1", "ATP6V1E1", "NDUFB6", "NDUFB10", "NDUFB7", "NDUFB3", "NDUFA2", "ATP5PD", "NDUFB4", "ATP5PB")
2	KEGG_PARKINSONS_DISEASE	4.43547305832719e-05	0.00368144263841157	0.557332238758646	0.615720402751536	1.92755972012136	51	c("ATP5PO", "NDUFS3", "NDUFC2", "NDUFA6", "NDUFS6", "NDUFB8", "VDAC1", "NDUFV3", "NDUFS8", "SDHB", "NDUFS5", "NDUFS4", "NDUFA8", "NDUFB1", "NDUFB6", "NDUFB10", "NDUFB7", "SLC25A5", "NDUFB3", "NDUFA2", "SLC25A4", "UBE2L3", "ATP5PD", "NDUFB4", "ATP5PB", "PARK7")
3	KEGG_ALZHEIMERS_DISEASE	0.000168953935067823	0.00934878440708618	0.518848077743792	0.592469957365442	1.85477242608199	51	c("ATP5PO", "NDUFS3", "NDUFC2", "HSD17B10", "NDUFA6", "NDUFS6", "NDUFB8", "NDUFV3", "NDUFS8", "SDHB", "NDUFS5", "NDUFS4", "NDUFA8", "NDUFB1", "APOE", "NDUFB6", "NDUFB10", "NDUFB7", "NDUFB3", "NDUFA2", "ATP5PD", "NDUFB4", "ATP5PB")
4	KEGG_HUNTINGTONS_DISEASE	0.00029236354385652	0.0121330870700456	0.49849310876659	0.552748766013287	1.7799871760756	58	c("ATP5PO", "NDUFS3", "NDUFC2", "GPX1", "NDUFA6", "NDUFS6", "NDUFB8", "VDAC1", "NDUFV3", "NDUFS8", "TFAM", "SDHB", "NDUFS5", "NDUFS4", "NDUFA8", "NDUFB1", "NDUFB6", "NDUFB10", "NDUFB7", "SLC25A5", "NDUFB3", "NDUFA2", "SLC25A4", "ATP5PD", "NDUFB4", "ATP5PB")
5	KEGG_FOLATE_BIOSYNTHESIS	0.00121842928872202	0.0337098769879759	0.45505986738723	0.896058137010391	1.73748206170398	6	c("ALPL", "GCH1", "GGH", "SPR")
6	KEGG_CELL_ADHESION_MOLECULES_CAMS	0.00813335299582222	0.168767074663311	0.380730400722792	0.785320100103896	1.68190615724074	9	c("PECAM1", "ICAM1", "ALCAM", "F11R", "CLDN3", "ITGB1")
7	KEGG_SELENOAMINO_ACID_METABOLISM	0.00780383278778416	0.168767074663311	0.407017918923954	0.797968463865318	1.66849779803785	8	c("GGT1", "CTH", "AHCY", "MAT1A")
8	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.0107182751707796	0.197692630927713	0.380730400722792	0.706620353543811	1.62412346230293	12	c("CTH", "CDO1", "MPST", "AHCY", "MAT1A")
9	KEGG_VIRAL_MYOCARDITIS	0.0178937461390754	0.228489373775886	0.352487857583619	0.793825986470196	1.60613298364189	7	c("DAG1", "ICAM1")
10	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.0478632478632479	0.457195325206963	0.271288554688953	0.60678698513453	1.51252604448774	17	c("PECAM1", "ICAM1", "RAP1B", "F11R", "CLDN3", "ITGB1")
11	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.0737410071942446	0.556409417920209	0.222056046145248	0.73691887937461	1.49099391882457	7	c("ICAM1", "GRB2", "CHP1")
12	KEGG_ARACHIDONIC_ACID_METABOLISM	0.0170137094571233	0.228489373775886	0.352487857583619	0.914015599230303	1.4743564325913	3	c("GGT1", "GPX1", "GPX3")
13	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.0824372759856631	0.594982078853047	0.208955027549354	0.703459409077342	1.47088579086084	8	c("SORD", "KHK", "FBP1", "PMM2", "TPI1", "GFUS")
14	KEGG_RIBOSOME	0.0161299050819785	0.228489373775886	0.352487857583619	0.4464077302026	1.46438203313557	67	c("RPS21", "RPL10A", "FAU", "RPS15A", "RPS18", "MRPL13", "RPS19", "RPS28", "RPSA", "RPL6", "RPS20", "RPL22", "RPS13", "RPL11", "RPS27L", "RPL19", "RPS17", "RPL15", "RPL12", "RPLP1", "RPL8", "RPL7A", "RPL9", "RPL31")
15	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.117132867132867	0.665499717673631	0.170932335370056	0.655189339211108	1.40320741011451	9	c("ATP6V1F", "F11R", "ATP6V1E1", "CDC42", "ATP6V1G1")
16	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.0377352600778435	0.391503323307626	0.321775918075361	0.94059026443438	1.38836493300203	2	c("TOLLIP", "RAC1")
